Group,Facility Name,Address,Phone,Hours,New Patients,Private Pay,Distance (mi),Services,Website,Confidence,Notes
Within 10 mi of Home,Mairik Adult Day Care,"7255 S. Havana St. Suite 130, Centennial, CO 80112",(303) 736-2466,Mon-Sat (call for specific hours),Unknown,Unknown,0.8,"Adult day program, unskilled/non-medical care; serves I/DD, physical disabilities, mental health, ADL assistance, deaf/hard of hearing",,HIGH,"Closest facility — same zip code. Contact: Irina Matevosyants, mairikdaycare@gmail.com"
Within 10 mi of Home,Someren Glen Adult Day Services,"5000 E. Arapahoe Rd., Centennial, CO 80122",(303) 779-5000,"Mon-Fri, 9:00 AM - 4:00 PM",Unknown,Unknown,2.8,"Memory care day program for early-stage memory loss/dementia; faith-based nonprofit (Christian Living Communities); also offers residential, assisted living, skilled nursing on campus",https://www.somerenglen.org/living-options/adult-day-services/,HIGH,Well-established nonprofit campus with multiple care levels
Within 10 mi of Home,Alpine Adult Day Care,"1985 S. Havana St., Aurora, CO 80014",(303) 755-8002,"Mon-Fri, 8:00 AM - 4:00 PM",Y,Y,4.5,"Elderly and disabled care; specialized habilitation; brain injury certified; hot meals, transportation, fitness/recreation, RN/CNA on staff, video monitoring, outings",https://www.alpineadultdaycare.com/,HIGH,Free trial day offered. Also accepts Medicaid and VA benefits
Within 10 mi of Home,Adult Day Care Services of Colorado,"15111 E. Hampden Ave., Aurora, CO 80014",(720) 484-6143,"Mon-Fri, 8:00 AM - 3:00 PM",Unknown,Y,5.2,"Recreation program, social involvement, independence-focused activities; described as one of the best recreation programs in Denver Metro area",https://adcsofcolorado.com/,HIGH,Very affordable private pay rates for those not on Medicaid
Within 10 mi of Home,Prestige Senior Social Club Adult Day Care,"2680 S. Havana St. Unit C, Aurora, CO 80014",(720) 476-3898,"Mon-Fri, 8:00 AM - 5:00 PM",Unknown,Unknown,4.5,"Door-to-door transportation, therapeutic/recreational activities, physical exercise, field trips, beauty services (skin therapy, massage, hairdressing), meals (breakfast, snack, lunch)",https://www.prestigeadc.com/,HIGH,Active 5-star Google/Facebook reviews suggest operational
Within 10 mi of Home,Colorado Spirit Adult Day Care Services,"10610 E. Bethany Dr., Unit A, Aurora, CO 80014",(303) 745-3344,Call for hours,Unknown,Unknown,5.8,"Personal care services, nutritious meals, English/computer classes, yoga, outings, hair services, theatrical activities",http://www.colorado-spirit.com/adultdaycare.html,HIGH,
Within 10 mi of Home,Comfort Adult Day Care,"10691 E. Bethany Dr., Suite 900, Aurora, CO 80014",(303) 632-6794,"Mon-Sat, 8:00 AM - 4:00 PM",Unknown,Y,5.8,"Transportation, meals, entertainment",https://comfortadultdaycare.com/,MEDIUM,Website may redirect; call directly
Within 10 mi of Home,Hans Adult Daycare LLC,"911 S. Havana St., Suite A, Aurora, CO 80012",(720) 641-5430,"Mon-Fri, 9:00 AM - 5:00 PM",Unknown,Y,6.2,"Transportation, nutritional meals, exercise/dance (senior yoga, line dancing), educational classes (calligraphy, English, smartphone training), karaoke, bingo, nursing staff",https://hansadultdaycare.com/,HIGH,
Within 10 mi of Home,2nd Home Community — Iliff,"10730 E. Iliff Ave., Aurora, CO 80014",(720) 281-1536,"Mon-Fri, 8:00 AM - 4:00 PM",Unknown,Unknown,5.5,"Multilingual staff (English, Korean, Spanish, Russian, Arabic); social activities, meals, transportation, personal care, memory care",https://www.2ndhomecommunity.com/,HIGH,Medicaid free; call for private pay rates. Medicare accepted
Within 10 mi of Home,2nd Home Community — Peoria,"2990 S. Peoria St., Aurora, CO 80014",(720) 281-1536,"Mon-Fri, 8:00 AM - 4:00 PM",Unknown,Unknown,7.2,"Multilingual staff (English, Korean, Spanish, Russian, Arabic); social activities, meals, transportation, personal care, memory care",https://www.2ndhomecommunity.com/,HIGH,Same operator as Iliff location
Within 10 mi of Home,2nd Home Community — Parker,"3138 S. Parker Rd., Aurora, CO 80014",(720) 417-1261,"Mon-Fri, 8:00 AM - 4:30 PM",Unknown,Unknown,7.0,"Multilingual staff (English, Korean, Spanish, Russian, Arabic); social activities, meals, transportation, personal care, memory care",https://www.2ndhomecommunity.com/,HIGH,Same operator as Iliff location
Within 10 mi of Home,2nd Home Community — Abilene,"1200 S. Abilene St., Unit C, Aurora, CO 80012",(720) 795-6140,"Mon-Fri, 8:00 AM - 4:00 PM",Unknown,Unknown,8.2,"Multilingual staff (English, Korean, Spanish, Russian, Arabic); social activities, meals, transportation, personal care, memory care",https://www.2ndhomecommunity.com/,HIGH,Same operator as Iliff location
Within 10 mi of Home,Happy Living and Wellness Adult Daycare,"14015 E. Evans Ave., Aurora, CO 80014",(720) 390-5697,"Mon-Fri, 7:30 AM - 2:30 PM",Unknown,Y,6.3,"Culturally responsive programs for Chinese-speaking elders (serving since 2016); meals, tai chi, field trips, mahjong, structured schedules, birthday celebrations. Wheelchair accessible",https://www.happylivingadultdaycare.com/,HIGH,Chinese-language focus
Within 10 mi of Home,Paradise Senior Daycare (Comport Paradise),"5280 S. Jebel St., Aurora, CO 80015",(720) 220-1377,"Mon-Sat, 8:00 AM - 4:00 PM",Unknown,Unknown,7.8,"Adult day care, Medicaid certified",https://paradiseseniordaycare.com/,MEDIUM,Website was unreachable during research; call directly
Within 10 mi of Home,Compassion Adult Daycare,"1740 S. Buckley Rd. #11, Aurora, CO 80017",(720) 427-8977,"Mon-Fri, 8:00 AM - 4:00 PM",Unknown,Y,8.5,"Adult day care, disability services, care services",https://compassioncolorado.com/,MEDIUM,
Within 10 mi of Home,Flatirons Adult Day Care,"15433 E. Hampden Ave., Suite D, Aurora, CO 80013",(720) 536-8961,"Mon-Fri, 8:00 AM - 4:00 PM",Unknown,Unknown,6.2,"Social support, nutritional meals, recreational activities, education and skill building; non-residential",https://flatironsadultdaycenter.com/,HIGH,Aurora location (separate Broomfield location exists)
Within 10 mi of Home,New Day In-Home and Respite Services,"20971 E. Smoky Hill Rd., Suite 101, Centennial, CO 80015",(303) 841-1399,"Mon-Thu, 9:00 AM - 3:30 PM",Unknown,Y,8.9,"Day programs for developmental disabilities; in-home support, respite services, companionship, meal prep, personal care. 365 days/year including weekends",https://newdayinhome.com/,HIGH,Primarily I/DD-focused; confirm whether they serve seniors with non-I/DD needs
Within 10 mi of Home,Johnson Adult Day Program,"3444 S. Emerson St., Englewood, CO 80113",(800) 558-0653,Call for hours,Unknown,Unknown,9.5,Designed for individuals with dementia; programs to keep patients occupied and entertained,https://www.caring.com/senior-living/colorado/englewood/johnson-adult-day-program,LOW,Single source (Caring.com); InnovAge connection unverified. Phone is Caring.com advisor line — call facility directly
I-225 Commute Corridor,Apex Adult Day Services,"562 Sable Blvd., Unit 150, Aurora, CO 80011",(720) 449-2682,"Mon-Fri, 8:00 AM - 4:00 PM",Unknown,Unknown,11.5,"Affordable day services for adults with physical, developmental, cognitive, and intellectual impairments; medication management, meal service, transportation via shuttle, games, trivia",https://apexadsco.com/,HIGH,~1 mile east of I-225 at Alameda Ave. Contact: marym@apex-adsco.com
I-225 Commute Corridor,Venezia Innovative Services — Adult Day Program,"15343 E. 6th Ave., Aurora, CO 80011",(303) 537-7078,"Mon-Fri, 8:30 AM - 6:00 PM",Unknown,Y,12.5,"Meals, wellness checks, transportation, medication administration; serves seniors and blind/disabled individuals; I/DD and behavioral/emotional disorders",http://www.veneziais.org/,HIGH,~2.5 miles east of I-225 near E. 6th Ave exit. SSL expired on website — call directly. Executive Director: Love Dzakpasu
I-225 Commute Corridor,InnovAge Colorado PACE Center — Aurora,"3551 N. Chambers Rd., Aurora, CO 80011",(303) 502-9433,"Mon-Fri, 8:00 AM - 5:00 PM",Y,N,12.8,"All-inclusive PACE care: medical services, PT, OT, speech therapy, behavioral health, nutrition, social engagement, rehab, bingo, themed outings. Requires age 55+, Medicaid/Medicare eligible",https://www.innovage.com/locations/colorado/aurora,HIGH,"PACE program — Medicare/Medicaid ONLY, does NOT accept private pay. Included for awareness only"
I-225 Commute Corridor,Seniors' Choice Adult Day Program,"14280 E. Jewell Ave. #B, Aurora, CO 80012",(303) 344-0046,"Mon-Thu, 8:00 AM - 6:00 PM",Unknown,Y,9.5,"Day activities, home and community support, safe/supportive environment for seniors of all abilities; supported employment program; Medicaid waiver accepted",https://www.continuumcolo.org/services/seniors-choice-activities/,HIGH,Operated by Continuum of Colorado. ~2 miles east of I-225. Two addresses listed — confirm current location
I-225 Commute Corridor,World Wide Adult Day Care and Transportation,"10890 E. Dartmouth Ave., Unit I, Aurora, CO 80014",(303) 815-6285,Call for hours,Y,Unknown,6.5,"Specialized adult day services; 15 years of experience; tailored programs, activities, compassionate support, home care and transportation",https://worldwideadultdaycare.com/,MEDIUM,Free trial day offered. ~3 miles east of I-225. Listed as Denver CO 80014 but is Aurora
I-225 Commute Corridor,Aurora Adult Day Care LLC,"1330 S. Potomac St., Suite 118, Aurora, CO 80012",(720) 484-5706,"Mon-Fri, 8:00 AM - 4:00 PM",Y,Unknown,8.8,"Physical/mental activities, group activities/socialization, freshly prepared meals, transportation, monthly excursions to museums, parks, cultural events",https://auroraadultdaycarellc.com/,HIGH,Contact for tours. ~1 mile west of I-225. Email: auroraadcllc@gmail.com
